Statistic,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,Total_Changes
18541,2.0,8.0,,,10.0
400511,13.0,,,14.0,27.0
393950,11.0,9.0,4.0,8.0,32.0
36406,2.0,,,,2.0
33631,3.0,1.0,1.0,7.0,12.0
14340,13.0,5.0,,5.0,23.0
24088,15.0,12.0,,15.0,42.0
45899,21.0,18.0,18.0,22.0,79.0
4761,21.0,17.0,5.0,21.0,64.0
55805,15.0,13.0,,3.0,31.0
10000,2.0,1.0,,,3.0
45437,10.0,14.0,,2.0,26.0
19024,8.0,4.0,1.0,2.0,15.0
45177,12.0,9.0,1.0,5.0,27.0
18013,14.0,1.0,,18.0,33.0
134196,9.0,5.0,3.0,10.0,27.0
139009,17.0,18.0,2.0,7.0,44.0
17557,21.0,19.0,4.0,21.0,65.0
9541,12.0,3.0,13.0,19.0,47.0
133720,14.0,5.0,,2.0,21.0
45960,1.0,5.0,1.0,3.0,10.0
4739,4.0,3.0,,14.0,21.0
9703,10.0,,,1.0,11.0
17762,21.0,16.0,,8.0,45.0
45820,19.0,19.0,3.0,18.0,59.0
3758,19.0,3.0,8.0,14.0,44.0
9506,1.0,1.0,9.0,14.0,25.0
18002,20.0,15.0,8.0,17.0,60.0
17665,20.0,15.0,7.0,14.0,56.0
133647,13.0,2.0,1.0,8.0,24.0
7600,8.0,,,7.0,15.0
58552,21.0,18.0,3.0,3.0,45.0
38158,21.0,17.0,,1.0,39.0
54098,6.0,,,3.0,9.0
17625,12.0,3.0,1.0,7.0,23.0
9381,15.0,16.0,1.0,10.0,42.0
134316,12.0,2.0,1.0,3.0,18.0
35916,3.0,8.0,,19.0,30.0
21769,1.0,,,9.0,10.0
4648,20.0,12.0,1.0,6.0,39.0
45413,1.0,,,,1.0
45629,13.0,20.0,1.0,10.0,44.0
139901,22.0,14.0,5.0,7.0,48.0
9269,14.0,11.0,,14.0,39.0
10103,17.0,3.0,1.0,13.0,34.0
55850,16.0,14.0,,7.0,37.0
7594,17.0,8.0,2.0,4.0,31.0
135409,7.0,,,1.0,8.0
16637,18.0,14.0,,10.0,42.0
29465,19.0,3.0,7.0,19.0,48.0
50304,12.0,13.0,1.0,7.0,33.0
55824,16.0,12.0,21.0,12.0,61.0
6421,12.0,,1.0,6.0,19.0
18229,17.0,16.0,1.0,18.0,52.0
58725,12.0,,,6.0,18.0
9829,21.0,17.0,11.0,23.0,72.0
45916,13.0,6.0,14.0,13.0,46.0
38182,14.0,11.0,1.0,6.0,32.0
45250,14.0,5.0,1.0,13.0,33.0
24482,16.0,19.0,1.0,11.0,47.0
2518,13.0,17.0,,,30.0
38193,22.0,15.0,,4.0,41.0
136030,12.0,5.0,4.0,4.0,25.0
9534,14.0,8.0,,5.0,27.0
59360,15.0,,,,15.0
38701,2.0,,,9.0,11.0
45758,18.0,13.0,1.0,8.0,40.0
135905,7.0,7.0,9.0,18.0,41.0
13979,11.0,2.0,,19.0,32.0
2687,17.0,14.0,1.0,13.0,45.0
71,2.0,,1.0,4.0,7.0
7430,2.0,,,5.0,7.0
15695,15.0,19.0,2.0,8.0,44.0
25886,2.0,,,3.0,5.0
18106,14.0,7.0,,3.0,24.0
10396,12.0,10.0,1.0,17.0,40.0
136106,21.0,20.0,,6.0,47.0
38753,13.0,3.0,5.0,7.0,28.0
132876,17.0,15.0,1.0,1.0,34.0
132280,18.0,2.0,8.0,18.0,46.0
203329,13.0,10.0,,4.0,27.0
714,20.0,19.0,19.0,22.0,80.0
3,17.0,,,18.0,35.0
38809,2.0,2.0,,8.0,12.0
50207,1.0,,,1.0,2.0
4230,23.0,19.0,4.0,6.0,52.0
293,19.0,12.0,,,31.0
45727,7.0,1.0,4.0,5.0,17.0
7568,7.0,6.0,,6.0,19.0
4750,13.0,3.0,,4.0,20.0
45430,15.0,13.0,1.0,5.0,34.0
35994,4.0,6.0,11.0,15.0,36.0
17511,7.0,4.0,1.0,14.0,26.0
27789,4.0,1.0,1.0,12.0,18.0
24319,2.0,6.0,,11.0,19.0
20214,10.0,2.0,11.0,4.0,27.0
18678,10.0,7.0,3.0,14.0,34.0
4780,14.0,5.0,1.0,21.0,41.0
