Statistic,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,Total_Changes
7642,5.0,,5.0,,10.0
133840,6.0,,,,6.0
55655,5.0,6.0,,,11.0
55832,2.0,,,,2.0
132116,4.0,3.0,,,7.0
58715,11.0,10.0,,,21.0
138840,7.0,5.0,,,12.0
10024,1.0,,,,1.0
150178,8.0,3.0,,,11.0
141731,10.0,3.0,1.0,1.0,15.0
38880,1.0,1.0,,,2.0
23688,7.0,,,,7.0
51430,1.0,,,,1.0
21453,2.0,4.0,,,6.0
208808,1.0,,,,1.0
204469,1.0,,,,1.0
1241,2.0,2.0,,,4.0
39153,3.0,,,,3.0
9188,1.0,,,,1.0
42104,1.0,,,,1.0
34872,2.0,6.0,,,8.0
12418,1.0,,,,1.0
48641,5.0,,,,5.0
58057,7.0,11.0,6.0,,24.0
29107,1.0,,,,1.0
57277,2.0,1.0,,,3.0
39199,2.0,,2.0,,4.0
34602,3.0,8.0,,,11.0
56740,1.0,,2.0,,3.0
58269,1.0,,,,1.0
47211,3.0,,,,3.0
41985,1.0,,,,1.0
12337,1.0,4.0,,,5.0
31163,3.0,,,,3.0
200020,13.0,,,,13.0
43256,3.0,,1.0,,4.0
21050,5.0,,5.0,,10.0
38235,4.0,3.0,,,7.0
55352,5.0,4.0,,,9.0
135269,1.0,2.0,,,3.0
28685,2.0,,1.0,,3.0
42772,1.0,,,,1.0
208677,1.0,,1.0,,2.0
5408,2.0,,,,2.0
8452,5.0,,13.0,,18.0
8324,1.0,,,,1.0
203214,2.0,,5.0,,7.0
133385,8.0,1.0,,,9.0
58682,10.0,4.0,,,14.0
58601,3.0,6.0,,,9.0
205262,1.0,,,,1.0
12835,3.0,,,,3.0
57877,1.0,,,,1.0
44332,1.0,1.0,,,2.0
199309,3.0,,,,3.0
44724,3.0,1.0,1.0,1.0,6.0
201825,1.0,2.0,,,3.0
25459,2.0,1.0,,,3.0
139646,1.0,,5.0,,6.0
272045,1.0,,1.0,,2.0
53087,5.0,4.0,,,9.0
264397,4.0,4.0,,2.0,10.0
268029,5.0,4.0,,1.0,10.0
264409,12.0,5.0,,,17.0
267521,6.0,7.0,,,13.0
53586,1.0,,1.0,,2.0
7438,2.0,1.0,,,3.0
27843,1.0,,1.0,,2.0
207967,1.0,,2.0,,3.0
265509,2.0,,2.0,,4.0
53181,11.0,5.0,10.0,5.0,31.0
268952,3.0,,2.0,,5.0
262596,8.0,5.0,3.0,4.0,20.0
208591,1.0,,,,1.0
11014,4.0,4.0,,,8.0
263689,2.0,,1.0,3.0,6.0
140570,1.0,1.0,1.0,,3.0
28368,11.0,7.0,,,18.0
267708,2.0,,,,2.0
28283,4.0,5.0,,,9.0
24323,6.0,,,,6.0
268077,4.0,,,,4.0
138571,1.0,,10.0,,11.0
393544,1.0,1.0,,,2.0
20007,2.0,,,,2.0
983,1.0,,2.0,,3.0
19955,2.0,,,,2.0
207138,2.0,,3.0,,5.0
14501,5.0,,5.0,,10.0
50115,2.0,,1.0,,3.0
133861,2.0,,6.0,,8.0
133199,4.0,,4.0,,8.0
265856,2.0,,2.0,,4.0
264209,5.0,3.0,,,8.0
133115,1.0,,,,1.0
37613,7.0,,,,7.0
37148,11.0,1.0,7.0,,19.0
327708,5.0,,2.0,,7.0
36926,3.0,,,,3.0
16284,4.0,2.0,,,6.0
37619,3.0,2.0,1.0,,6.0
328832,3.0,,,,3.0
37497,2.0,2.0,,,4.0
11845,3.0,,1.0,,4.0
37440,7.0,,,,7.0
37098,3.0,,,,3.0
36873,7.0,3.0,1.0,,11.0
37192,6.0,,,,6.0
36940,6.0,,,,6.0
328659,6.0,,,,6.0
36920,1.0,,,,1.0
37294,3.0,,4.0,,7.0
37406,2.0,,,,2.0
6,1.0,,,,1.0
36914,2.0,,13.0,,15.0
36998,2.0,,5.0,,7.0
37122,1.0,,1.0,,2.0
27822,2.0,,,,2.0
25818,1.0,3.0,,,4.0
328198,2.0,,2.0,,4.0
37001,1.0,,,,1.0
64512,3.0,,3.0,,6.0
15706,2.0,1.0,4.0,,7.0
28698,2.0,,2.0,,4.0
328316,1.0,,,,1.0
36913,3.0,,4.0,,7.0
37014,1.0,,1.0,,2.0
23661,1.0,,,,1.0
9873,3.0,,1.0,,4.0
45558,9.0,4.0,,,13.0
137990,4.0,2.0,,,6.0
133676,8.0,,3.0,,11.0
133001,4.0,6.0,,,10.0
45267,3.0,1.0,,,4.0
9245,2.0,,,,2.0
38794,2.0,1.0,,,3.0
133706,1.0,,,,1.0
45296,9.0,2.0,,,11.0
134341,1.0,,1.0,,2.0
58736,2.0,,,,2.0
58945,7.0,6.0,1.0,,14.0
140504,7.0,,,,7.0
133954,2.0,,,,2.0
138296,5.0,,,,5.0
132829,4.0,1.0,,,5.0
136334,3.0,4.0,,,7.0
58906,2.0,,,,2.0
38757,7.0,2.0,,,9.0
202592,1.0,1.0,,,2.0
133524,4.0,3.0,,,7.0
58505,3.0,1.0,,,4.0
45845,3.0,4.0,,,7.0
137491,5.0,3.0,,2.0,10.0
132296,4.0,2.0,,,6.0
58689,7.0,2.0,1.0,,10.0
132615,1.0,,,,1.0
35908,1.0,,8.0,,9.0
17922,8.0,3.0,,,11.0
42394,2.0,4.0,,,6.0
35661,3.0,10.0,,,13.0
199518,2.0,6.0,,4.0,12.0
41051,9.0,13.0,,,22.0
263482,9.0,3.0,,,12.0
262459,3.0,2.0,5.0,,10.0
273683,7.0,3.0,,,10.0
267469,8.0,7.0,,2.0,17.0
28220,1.0,,,,1.0
17222,1.0,,2.0,,3.0
266062,5.0,,2.0,,7.0
265661,2.0,,,,2.0
61599,5.0,6.0,,,11.0
263774,2.0,,,,2.0
52873,3.0,4.0,,,7.0
268689,2.0,7.0,,,9.0
28191,1.0,,,,1.0
28126,8.0,3.0,2.0,,13.0
266092,2.0,,,,2.0
266460,2.0,,,,2.0
264948,1.0,1.0,,,2.0
266015,2.0,1.0,,,3.0
14259,3.0,,1.0,,4.0
52551,6.0,2.0,,,8.0
264562,2.0,3.0,,,5.0
262462,3.0,5.0,,,8.0
61844,2.0,5.0,,,7.0
266233,4.0,5.0,,,9.0
52579,7.0,10.0,,,17.0
53180,5.0,3.0,,,8.0
52863,13.0,6.0,,,19.0
266136,2.0,,,,2.0
28284,2.0,3.0,,,5.0
264880,2.0,2.0,,,4.0
266545,2.0,2.0,2.0,,6.0
266520,3.0,7.0,,,10.0
266247,3.0,2.0,,,5.0
61689,10.0,3.0,1.0,,14.0
27827,2.0,,,,2.0
268267,2.0,3.0,,,5.0
