Statistic,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,Total_Changes
38757,2.0,,,,2.0
45845,2.0,,,,2.0
134326,1.0,,,9.0,10.0
35908,1.0,,4.0,,5.0
35661,2.0,4.0,,,6.0
263482,2.0,2.0,,,4.0
262459,1.0,,1.0,,2.0
267469,2.0,1.0,,,3.0
266040,1.0,,4.0,,5.0
28220,3.0,,,,3.0
52866,2.0,,,,2.0
263629,2.0,2.0,,,4.0
28359,4.0,2.0,,,6.0
266207,1.0,2.0,,,3.0
28191,1.0,,,,1.0
28126,2.0,1.0,,,3.0
61844,3.0,3.0,,,6.0
262875,2.0,,2.0,,4.0
266233,2.0,3.0,,,5.0
52579,1.0,2.0,,,3.0
53180,2.0,3.0,,,5.0
52863,7.0,1.0,,,8.0
27827,1.0,,,,1.0
262761,3.0,4.0,1.0,5.0,13.0
209015,2.0,,2.0,,4.0
39273,5.0,,,1.0,6.0
208784,2.0,,,,2.0
64112,2.0,,,,2.0
267566,1.0,,,,1.0
265066,6.0,3.0,,,9.0
262503,5.0,3.0,,,8.0
272193,2.0,1.0,,,3.0
267614,4.0,5.0,,,9.0
41032,2.0,2.0,2.0,,6.0
203459,2.0,1.0,1.0,1.0,5.0
61226,1.0,,,,1.0
4621,3.0,3.0,4.0,,10.0
200081,1.0,1.0,,,2.0
2200,2.0,,2.0,,4.0
207944,1.0,,,,1.0
201675,1.0,1.0,,,2.0
57324,2.0,1.0,2.0,1.0,6.0
203217,5.0,3.0,4.0,2.0,14.0
59588,3.0,1.0,5.0,1.0,10.0
212795,2.0,2.0,,,4.0
42541,8.0,7.0,,,15.0
269783,1.0,1.0,,,2.0
262474,1.0,,1.0,1.0,3.0
264297,1.0,1.0,,,2.0
263817,2.0,,,,2.0
268579,2.0,1.0,,,3.0
264567,3.0,,,,3.0
262572,2.0,,,,2.0
265937,3.0,,,,3.0
262642,1.0,,,,1.0
262869,3.0,2.0,,2.0,7.0
267373,2.0,,2.0,,4.0
267942,2.0,,,,2.0
271145,3.0,,,,3.0
52660,1.0,,,,1.0
265130,2.0,3.0,,5.0,10.0
53121,2.0,,,,2.0
61763,1.0,,,,1.0
268886,1.0,,,,1.0
11058,4.0,,,,4.0
262773,3.0,1.0,3.0,,7.0
263336,1.0,1.0,1.0,,3.0
268919,1.0,,,,1.0
28154,1.0,,1.0,,2.0
269021,1.0,,,,1.0
266498,1.0,,,,1.0
263470,1.0,,,,1.0
262587,1.0,,,,1.0
270586,5.0,2.0,,,7.0
266644,8.0,,,,8.0
52327,1.0,,,,1.0
266965,1.0,1.0,1.0,,3.0
266992,3.0,,,,3.0
266489,1.0,,,,1.0
267396,2.0,,2.0,2.0,6.0
268240,3.0,,,,3.0
60919,1.0,,,,1.0
35266,11.0,11.0,,,22.0
141137,1.0,,,,1.0
54128,2.0,,,,2.0
43940,2.0,,2.0,,4.0
19360,1.0,,,,1.0
14325,1.0,,,,1.0
12206,2.0,,,,2.0
12217,4.0,,,,4.0
22639,8.0,,,,8.0
23246,1.0,,,,1.0
397305,1.0,,1.0,,2.0
62825,1.0,,2.0,,3.0
30674,1.0,,1.0,,2.0
25515,1.0,,,,1.0
6412,2.0,,,,2.0
45839,4.0,,4.0,,8.0
201749,3.0,1.0,3.0,1.0,8.0
198169,4.0,,2.0,,6.0
204577,2.0,,,,2.0
43103,1.0,,,,1.0
48407,2.0,,2.0,,4.0
56484,3.0,2.0,3.0,2.0,10.0
41148,2.0,,,,2.0
15773,1.0,,,,1.0
207811,3.0,1.0,,,4.0
199579,1.0,,,,1.0
23154,2.0,,,,2.0
12654,11.0,11.0,11.0,11.0,44.0
44844,1.0,,,,1.0
35076,2.0,,,,2.0
202958,5.0,,,,5.0
197107,1.0,,,,1.0
203442,4.0,1.0,,1.0,6.0
35732,2.0,,2.0,,4.0
44619,1.0,,,,1.0
47664,1.0,,,,1.0
41285,1.0,,,,1.0
48385,4.0,,,,4.0
49861,1.0,,,,1.0
50446,1.0,1.0,,,2.0
204626,4.0,,,,4.0
196762,9.0,,,,9.0
197035,2.0,,,,2.0
56936,2.0,,,,2.0
207881,2.0,,,,2.0
198873,1.0,,,,1.0
212573,2.0,2.0,,,4.0
41524,1.0,,,,1.0
34660,1.0,1.0,,,2.0
198619,1.0,,,,1.0
64302,2.0,,,,2.0
327996,1.0,1.0,,,2.0
24441,2.0,,,,2.0
149994,2.0,2.0,,,4.0
149704,3.0,,4.0,,7.0
58704,2.0,,,,2.0
131746,2.0,,,,2.0
9423,6.0,,,,6.0
9915,1.0,,,,1.0
150094,3.0,,,,3.0
137704,2.0,,,,2.0
137100,2.0,,,,2.0
137269,2.0,,,,2.0
139734,1.0,,,,1.0
138097,2.0,,,,2.0
149258,3.0,,,,3.0
136644,2.0,3.0,1.0,,6.0
139950,2.0,,,,2.0
140424,1.0,,,,1.0
141024,1.0,,,,1.0
